 	ribo_5p
MSMEG_2070	0.7996
MSMEG_2071	0.2493
MSMEG_2072	0.6594
MSMEG_2073	0.5125
MSMEG_2074	0.4429
MSMEG_2075	0.3811
MSMEG_2076	0.6567
MSMEG_2077	1.0994
MSMEG_2078	0.4614
MSMEG_2079	0.8525
MSMEG_2080	1.2161
MSMEG_2081	0.4061
MSMEG_2082	0.6546
MSMEG_2083	2.8713
MSMEG_2084	1.02
MSMEG_2086	1.0104
MSMEG_2087	0.3021
MSMEG_2088	0.3116
MSMEG_2089	0.5324
MSMEG_2090	0.2849
MSMEG_2091	0.2578
MSMEG_2092	0.7624
MSMEG_2094	0.4684
MSMEG_2095	1.9124
MSMEG_2096	0.3065
MSMEG_2097	0.4154
MSMEG_2098	1.1513
MSMEG_2099	0.4781
MSMEG_2100	1.1644
MSMEG_2102	0.3888
MSMEG_2103	0.2803
MSMEG_2104	0.6996
MSMEG_2105	0.4313
MSMEG_2106	1.3501
MSMEG_2107	0.897
MSMEG_2108	1.2461
MSMEG_2109	0.3118
MSMEG_2110	0.4048
MSMEG_2111	0.3405
MSMEG_2112	3.9032
MSMEG_2113	0.18
MSMEG_2114	0.1742
MSMEG_2115	0.281
MSMEG_2116	1.1036
MSMEG_2117	6.6035
MSMEG_2118	0.2221
MSMEG_2119	0.4927
MSMEG_2120	0.1348
MSMEG_2121	0.3057
MSMEG_2122	0.4081
MSMEG_2123	1.3744
MSMEG_2124	1.5146
MSMEG_2125	0.6171
MSMEG_2126	0.1564
MSMEG_2127	1.4674
MSMEG_2128	0.2607
MSMEG_2129	0.1258
MSMEG_2130	0.3351
MSMEG_2131	0.2474
MSMEG_2132	0.4536
MSMEG_2133	0.6275
MSMEG_2134	0.3467
MSMEG_2135	1.1064
MSMEG_2136	19.4663
MSMEG_2137	0.3833
MSMEG_2139	0.2069
MSMEG_2140	3.0248
MSMEG_2141	0.4466
MSMEG_2142	0.7362
MSMEG_2143	0.3259
MSMEG_2144	6.0609
MSMEG_2145	0.4852
MSMEG_2146	0.5953
MSMEG_2148	0.4829
MSMEG_2149	0.4059
MSMEG_2150	1.0
MSMEG_2151	0.5114
MSMEG_2153	2.3111
MSMEG_2154	0.5957
MSMEG_2155	2.129
MSMEG_2156	1.8537
MSMEG_2157	0.5898
MSMEG_2158	0.0437
MSMEG_2159	0.1701
MSMEG_2160	1.2573
MSMEG_2162	0.9198
MSMEG_2163	0.7728
MSMEG_2164	0.2415
MSMEG_2165	1.7966
MSMEG_2166	0.2862
MSMEG_2167	0.8101
MSMEG_2168	0.2655
MSMEG_2169	0.6212
MSMEG_2170	0.6272
MSMEG_2171	0.6387
MSMEG_2172	0.455
MSMEG_2173	9.2885
MSMEG_2174	0.3644
MSMEG_2175	0.9739
MSMEG_2176	0.5769
MSMEG_2177	0.5966
MSMEG_2178	0.608
MSMEG_2179	0.7115
MSMEG_2180	1.5772
MSMEG_2181	0.1587
MSMEG_2182	3.2236
MSMEG_2183	0.4774
MSMEG_2184	0.6034
MSMEG_2185	0.3207
MSMEG_2186	0.7059
MSMEG_2187	0.5281
MSMEG_2188	0.677
MSMEG_2189	0.383
MSMEG_2190	0.4719
MSMEG_2191	1.5909
MSMEG_2192	2.4699
MSMEG_2193	0.4346
MSMEG_2194	0.3919
MSMEG_2195	0.7635
MSMEG_2196	0.2225
MSMEG_2197	0.3767
MSMEG_2198	0.3467
MSMEG_2199	0.5356
MSMEG_2200	1.073
MSMEG_2201	0.8726
MSMEG_2202	0.1847
MSMEG_2203	0.5158
MSMEG_2204	0.8681
MSMEG_2205	1.0723
MSMEG_2206	0.9954
MSMEG_2207	0.2586
MSMEG_2208	0.5277
MSMEG_2209	0.2417
MSMEG_2211	5.017
MSMEG_2212	0.812
MSMEG_2213	0.3817
MSMEG_2214	0.1871
MSMEG_2215	0.4684
MSMEG_2216	0.3548
MSMEG_2217	0.2749
MSMEG_2218	0.2659
MSMEG_2219	0.4563
MSMEG_2220	0.4807
MSMEG_2221	0.3999
MSMEG_2222	0.3534
MSMEG_2223	0.3274
MSMEG_2224	0.8551
MSMEG_2225	0.7395
MSMEG_2226	0.5765
MSMEG_2227	0.2594
MSMEG_2228	0.2439
MSMEG_2229	0.2137
MSMEG_2230	0.3926
MSMEG_2231	0.6361
MSMEG_2232	0.4661
MSMEG_2233	0.8684
MSMEG_2234	0.3465
MSMEG_2235	0.5756
MSMEG_2236	1.383
MSMEG_2237	0.6402
MSMEG_2238	0.4593
MSMEG_2239	0.5134
MSMEG_2240	0.8481
MSMEG_2241	0.3851
MSMEG_2242	0.8726
MSMEG_2243	0.4595
MSMEG_2244	0.433
MSMEG_2245	1.7943
MSMEG_2246	1.0956
MSMEG_2247	0.4135
MSMEG_2248	1.7837
MSMEG_2249	10.63
MSMEG_2250	0.4374
MSMEG_2251	1.7927
MSMEG_2252	0.1115
MSMEG_2253	1.2107
MSMEG_2254	1.0444
MSMEG_2255	0.6623
MSMEG_2256	0.3074
MSMEG_2257	0.4285
MSMEG_2258	0.2039
MSMEG_2259	1.8598
MSMEG_2260	0.2211
MSMEG_2261	0.9251
MSMEG_2262	0.502
MSMEG_2263	1.0371
MSMEG_2264	0.1108
MSMEG_2265	0.1357
MSMEG_2266	0.3909
MSMEG_2267	0.4885
MSMEG_2268	0.243
MSMEG_2269	0.4011
MSMEG_2270	0.4183
MSMEG_2271	0.3908
MSMEG_2272	2.3597
MSMEG_2273	1.4455
MSMEG_2274	0.4035
MSMEG_2275	0.3336
MSMEG_2276	0.2909
MSMEG_2277	0.5508
MSMEG_2278	0.6317
MSMEG_2279	1.769
MSMEG_2280	1.4609
MSMEG_2281	0.1401
MSMEG_2282	0.3354
MSMEG_2283	1.0
MSMEG_2284	1.0
MSMEG_2285	1.0
MSMEG_2286	1.0
MSMEG_2287	1.0
MSMEG_2288	1.0
MSMEG_2289	1.0
MSMEG_2290	1.0
MSMEG_2291	1.0
MSMEG_2292	1.0
MSMEG_2293	1.0
MSMEG_2294	1.0
MSMEG_2295	1.0
MSMEG_2296	1.0
MSMEG_2297	1.0
MSMEG_2299	1.0
MSMEG_2301	1.0
MSMEG_2302	1.0
MSMEG_2303	1.0
MSMEG_2304	1.0
MSMEG_2305	1.0
MSMEG_2306	1.0
MSMEG_2307	1.0
MSMEG_2308	1.0
MSMEG_2309	1.0
MSMEG_2310	1.0
MSMEG_2311	1.0
MSMEG_2312	1.0
MSMEG_2313	1.0
MSMEG_2314	1.0
MSMEG_2315	1.0
MSMEG_2317	1.0
MSMEG_2318	1.0
MSMEG_2319	1.0
MSMEG_2321	1.0
MSMEG_2322	1.0
MSMEG_2323	1.0
MSMEG_2324	1.0
MSMEG_2325	1.0
MSMEG_2326	1.0
MSMEG_2327	1.0
MSMEG_2328	1.0
MSMEG_2329	1.0
MSMEG_2330	1.0
MSMEG_2331	1.0
MSMEG_2332	1.0
MSMEG_2333	1.0
MSMEG_2334	1.0
MSMEG_2335	1.0
MSMEG_2337	1.0
MSMEG_2338	1.0
MSMEG_2339	0.3249
MSMEG_2340	0.8345
MSMEG_2341	0.1985
MSMEG_2342	0.6659
MSMEG_2343	0.2838
MSMEG_2344	0.3606
MSMEG_2346	0.4173
MSMEG_2347	0.6895
MSMEG_2349	0.7426
MSMEG_2350	2.8201
MSMEG_2351	1.6909
MSMEG_2352	0.7113
MSMEG_2353	1.0587
MSMEG_2354	0.3198
MSMEG_2355	0.1467
MSMEG_2356	0.5123
MSMEG_2357	4.6748
MSMEG_2358	0.3327
MSMEG_2359	0.0875
MSMEG_2360	0.3835
MSMEG_2361	1.1205
MSMEG_2362	4.4069
MSMEG_2363	1.9269
MSMEG_2364	1.3797
MSMEG_2365	0.437
MSMEG_2367	1.7478
MSMEG_2368	0.1519
MSMEG_2369	0.368
MSMEG_2370	6.575
MSMEG_2371	1.5463
MSMEG_2372	0.2639
MSMEG_2373	0.1333
MSMEG_2374	0.4457
MSMEG_2375	0.1969
MSMEG_2376	0.2061
MSMEG_2377	3.9629
MSMEG_2378	11.0323
MSMEG_2379	0.3779
MSMEG_2380	0.4218
MSMEG_2381	4.1812
MSMEG_2382	3.2851
MSMEG_2383	0.305
MSMEG_2386	2.2093
MSMEG_2387	1.037
MSMEG_2388	1.1212
MSMEG_2389	0.4223
MSMEG_2390	0.1362
MSMEG_2391	1.5688
MSMEG_2392	9.6902
MSMEG_2393	0.2391
MSMEG_2394	0.6044
MSMEG_2395	0.0904
MSMEG_2396	0.0808
MSMEG_2397	0.6433
MSMEG_2398	0.5675
MSMEG_2399	0.6069
MSMEG_2400	0.9685
MSMEG_2401	0.3677
MSMEG_2402	1.081
MSMEG_2403	0.5363
MSMEG_2404	0.2399
MSMEG_2405	1.3142
MSMEG_2406	0.1343
MSMEG_2407	0.9573
MSMEG_2408	7.387
MSMEG_2409	0.6697
MSMEG_2410	1.0032
MSMEG_2411	0.082
MSMEG_2412	0.2949
MSMEG_2413	0.1404
MSMEG_2414	0.3038
MSMEG_2415	0.6667
MSMEG_2416	2.6949
MSMEG_2417	0.3716
MSMEG_2418	0.2041
MSMEG_2419	0.2237
MSMEG_2420	1.3159
MSMEG_2421	3.3174
MSMEG_2422	0.3226
MSMEG_2423	0.146
MSMEG_2424	1.5063
MSMEG_2425	0.314
MSMEG_2426	0.8559
MSMEG_2427	0.3014
MSMEG_2428	3.5354
MSMEG_2429	2.4281
MSMEG_2430	5.4225
MSMEG_2431	0.2031
MSMEG_2432	0.241
MSMEG_2433	3.2279
MSMEG_2434	8.8515
MSMEG_2435	0.4533
MSMEG_2436	0.3211
MSMEG_2437	0.0862
MSMEG_2438	0.1264
MSMEG_2439	0.5082
MSMEG_2440	3.4182
MSMEG_2441	0.0834
MSMEG_2442	0.1203
MSMEG_2443	0.4533
MSMEG_2444	0.371
MSMEG_2445	0.5149
MSMEG_2446	1.4931
MSMEG_2447	1.7811
MSMEG_2448	1.2317
MSMEG_2449	0.7619
MSMEG_2450	0.71
MSMEG_2451	1.4714
MSMEG_2452	0.3716
MSMEG_2453	2.2201
MSMEG_2454	0.2077
MSMEG_2455	0.892
MSMEG_2456	0.4126
MSMEG_2457	0.4896
MSMEG_2458	0.225
MSMEG_2459	0.1997
MSMEG_2460	0.3473
MSMEG_2461	0.1803
MSMEG_2462	0.071
MSMEG_2463	0.1498
MSMEG_2464	0.2608
MSMEG_2465	1.3355
MSMEG_2466	0.7564
MSMEG_2467	0.8549
MSMEG_2468	0.3457
MSMEG_2469	0.0313
MSMEG_2470	0.3542
MSMEG_2471	0.8551
MSMEG_2472	2.3391
MSMEG_2474	0.4384
MSMEG_2475	1.7093
MSMEG_2476	1.809
MSMEG_2477	0.6556
MSMEG_2478	1.5303
MSMEG_2479	0.3619
MSMEG_2480	0.7418
MSMEG_2481	0.2241
MSMEG_2482	0.458
MSMEG_2483	0.3811
MSMEG_2484	0.5667
MSMEG_2485	0.4632
MSMEG_2486	1.2056
MSMEG_2487	1.0404
MSMEG_2488	0.6046
MSMEG_2489	0.2715
MSMEG_2490	0.7145
MSMEG_2491	0.3233
MSMEG_2492	0.964
MSMEG_2493	1.0476
MSMEG_2494	0.2175
MSMEG_2495	1.4557
MSMEG_2496	0.2808
MSMEG_2497	0.2727
MSMEG_2498	0.6049
MSMEG_2499	0.2785
MSMEG_2500	0.2983
MSMEG_2501	0.2531
MSMEG_2502	0.2968
MSMEG_2503	0.4187
MSMEG_2504	0.6571
MSMEG_2505	0.3005
MSMEG_2506	0.5524
MSMEG_2507	0.4486
MSMEG_2508	0.9016
MSMEG_2509	0.6144
MSMEG_2511	2.1117
MSMEG_2512	0.1365
MSMEG_2513	0.3537
MSMEG_2515	3.1858
MSMEG_2516	1.7892
MSMEG_2517	0.1908
MSMEG_2518	0.6872
MSMEG_2519	0.0131
MSMEG_2520	1.063
MSMEG_2521	0.6012
MSMEG_2522	0.0612
MSMEG_2523	0.342
MSMEG_2524	0.8181
MSMEG_2525	0.3661
MSMEG_2526	0.5085
MSMEG_2527	1.8071
MSMEG_2528	0.1708
MSMEG_2529	0.6526
MSMEG_2530	1.4177
MSMEG_2531	0.4411
MSMEG_2532	0.5001
MSMEG_2533	0.3484
MSMEG_2534	0.4073
MSMEG_2535	0.6571
MSMEG_2536	1.0574
MSMEG_2537	0.3097
MSMEG_2538	0.5678
MSMEG_2539	2.1667
MSMEG_2540	1.4525
MSMEG_2541	0.8344
MSMEG_2542	0.77
MSMEG_2543	0.1456
MSMEG_2544	0.242
MSMEG_2545	0.8371
MSMEG_2546	2.2981
MSMEG_2547	1.3671
MSMEG_2548	0.518
MSMEG_2549	0.4562
MSMEG_2550	0.4461
MSMEG_2551	0.4244
MSMEG_2552	0.0729
MSMEG_2553	0.3152
MSMEG_2554	0.2109
MSMEG_2555	0.1901
MSMEG_2556	1.307
MSMEG_2557	1.3945
MSMEG_2558	0.4626
MSMEG_2559	0.5114
MSMEG_2560	0.2714
MSMEG_2561	1.677
MSMEG_2562	0.4151
MSMEG_2563	0.3466
MSMEG_2564	0.3981
MSMEG_2565	0.5423
MSMEG_2566	0.6118
MSMEG_2567	0.4637
MSMEG_2568	0.6106
MSMEG_2569	0.6478
MSMEG_2570	0.2731
MSMEG_2571	1.1488
MSMEG_2572	0.3297
MSMEG_2573	0.2925
MSMEG_2574	0.147
MSMEG_2575	1.3602
MSMEG_2576	2.0789
MSMEG_2577	1.5216
MSMEG_2578	2.1868
MSMEG_2579	0.1498
MSMEG_2580	0.5626
MSMEG_2581	0.1801
MSMEG_2582	0.6102
MSMEG_2583	0.2385
MSMEG_2584	1.9658
MSMEG_2585	0.1654
MSMEG_2586	0.5163
MSMEG_2587	3.6993
MSMEG_2588	0.2272
MSMEG_2589	2.4238
MSMEG_2590	1.658
MSMEG_2591	0.7438
MSMEG_2592	0.2051
MSMEG_2593	0.148
MSMEG_2594	0.528
MSMEG_2595	1.4151
MSMEG_2596	0.2884
MSMEG_2597	1.2253
MSMEG_2598	0.4793
MSMEG_2599	0.1366
MSMEG_2600	1.2834
MSMEG_2601	1.6404
MSMEG_2602	0.4182
MSMEG_2603	0.2839
MSMEG_2604	0.5864
MSMEG_2605	12.9956
MSMEG_2606	2.3667
MSMEG_2607	0.759
MSMEG_2608	0.3764
MSMEG_2609	0.1594
MSMEG_2610	0.2423
MSMEG_2611	0.6417
MSMEG_2612	2.8491
MSMEG_2613	1.1107
MSMEG_2614	0.2944
MSMEG_2615	0.2747
MSMEG_2616	0.2641
MSMEG_2617	0.1539
MSMEG_2618	1.1524
MSMEG_2619	0.7276
MSMEG_2620	0.0817
MSMEG_2621	1.4212
MSMEG_2622	0.1701
MSMEG_2623	1.8606
MSMEG_2624	0.9638
MSMEG_2625	0.1503
MSMEG_2626	0.0984
MSMEG_2627	0.567
MSMEG_2628	0.2928
MSMEG_2629	0.211
MSMEG_2630	0.3768
MSMEG_2631	0.2341
MSMEG_2632	0.4047
MSMEG_2633	0.3232
MSMEG_2634	0.2851
MSMEG_2635	0.2885
MSMEG_2636	0.3222
MSMEG_2637	0.398
MSMEG_2638	0.2653
MSMEG_2639	0.1702
MSMEG_2640	0.3692
MSMEG_2641	2.1457
MSMEG_2642	5.265
MSMEG_2643	0.4043
MSMEG_2644	0.2035
MSMEG_2645	0.6241
MSMEG_2646	0.8076
MSMEG_2647	2.7895
MSMEG_2648	0.4188
MSMEG_2649	0.3609
MSMEG_2650	0.1512
MSMEG_2651	0.7552
MSMEG_2652	6.8291
MSMEG_2653	4.4267
MSMEG_2654	0.8205
MSMEG_2655	0.0858
MSMEG_2656	0.4419
MSMEG_2657	0.1211
MSMEG_2658	0.5661
MSMEG_2659	1.5096
MSMEG_2660	0.9313
MSMEG_2661	10.097
MSMEG_2662	0.4743
MSMEG_2663	0.3604
MSMEG_2664	24.6865
MSMEG_2665	0.4621
MSMEG_2666	0.2274
MSMEG_2667	0.2468
MSMEG_2668	0.2815
MSMEG_2669	1.7397
MSMEG_2670	4.3429
MSMEG_2671	0.1759
MSMEG_2672	0.1856
MSMEG_2673	0.2826
MSMEG_2674	0.8661
MSMEG_2675	0.3473
MSMEG_2676	0.5337
MSMEG_2677	0.1395
MSMEG_2678	0.3111
MSMEG_2679	1.686
MSMEG_2680	0.5117
MSMEG_2681	0.6107
MSMEG_2682	1.2566
MSMEG_2683	1.321
MSMEG_2684	0.7125
MSMEG_2685	0.1197
MSMEG_2686	0.3917
MSMEG_2687	0.2483
MSMEG_2688	1.0041
MSMEG_2689	0.4649
MSMEG_2690	0.9757
MSMEG_2691	1.4616
MSMEG_2692	0.2306
MSMEG_2693	0.3473
MSMEG_2694	2.9107
MSMEG_2695	0.405
MSMEG_2696	0.2536
MSMEG_2697	0.1521
MSMEG_2698	4.375
MSMEG_2699	0.4718
MSMEG_2700	2.0078
MSMEG_2701	2.0667
MSMEG_2702	0.1719
MSMEG_2703	1.7876
MSMEG_2705	0.8261
MSMEG_2706	0.5324
MSMEG_2707	0.4364
MSMEG_2708	1.0704
MSMEG_2709	0.3794
MSMEG_2710	0.1988
MSMEG_2711	0.2382
MSMEG_2712	0.2405
MSMEG_2713	0.5543
MSMEG_2714	0.65
MSMEG_2715	0.6636
MSMEG_2716	1.0946
MSMEG_2717	0.494
MSMEG_2718	0.3107
MSMEG_2719	0.2981
MSMEG_2720	0.1808
MSMEG_2721	0.7632
MSMEG_2722	0.6314
MSMEG_2723	0.3944
MSMEG_2724	0.137
MSMEG_2725	0.2149
MSMEG_2726	0.0635
MSMEG_2727	0.3638
MSMEG_2728	3.2256
MSMEG_2729	3.1203
MSMEG_2731	0.3582
MSMEG_2732	0.4743
MSMEG_2733	0.1976
MSMEG_2734	0.2842
MSMEG_2735	14.0347
MSMEG_2736	0.4055
MSMEG_2737	0.0725
MSMEG_2738	1.0124
MSMEG_2739	0.3634
MSMEG_2740	4.8163
MSMEG_2741	0.1674
MSMEG_2742	2.6172
MSMEG_2743	0.6646
MSMEG_2744	4.0219
MSMEG_2746	0.8054
MSMEG_2748	2.5747
MSMEG_2749	0.344
MSMEG_2750	2.4677
MSMEG_2751	0.9517
MSMEG_2752	3.3007
MSMEG_2753	5.9234
MSMEG_2754	6.1678
MSMEG_2755	0.0361
MSMEG_2756	2.4145
MSMEG_2757	0.0957
MSMEG_2758	0.3964
MSMEG_2759	0.305
MSMEG_2760	0.4207
MSMEG_2761	0.6625
MSMEG_2762	3.6134
MSMEG_2763	0.8268
MSMEG_2764	2.147
MSMEG_2765	2.4426
MSMEG_2766	0.2057
MSMEG_2767	0.4707
MSMEG_2768	1.4652
MSMEG_2769	0.4609
MSMEG_2770	0.1095
MSMEG_2771	0.3375
MSMEG_2772	0.7833
MSMEG_2773	0.183
MSMEG_2774	0.2056
MSMEG_2775	0.1386
MSMEG_2776	0.1748
MSMEG_2777	0.02
MSMEG_2778	0.134
MSMEG_2779	6.2648
MSMEG_2780	0.4481
MSMEG_2781	0.3749
MSMEG_2782	5.6054
MSMEG_2783	0.1291
MSMEG_2784	1.0583
MSMEG_2785	0.1321
MSMEG_2786	0.4156
MSMEG_2787	2.072
MSMEG_2788	1.1937
MSMEG_2789	0.2174
MSMEG_2790	0.2862
MSMEG_2791	2.6601
MSMEG_2792	2.6235
MSMEG_2793	1.3118
MSMEG_2794	0.282
MSMEG_2795	3.3577
MSMEG_2796	0.07
MSMEG_2797	0.542
MSMEG_2798	0.8324
MSMEG_2799	0.8872
MSMEG_2800	0.4259
MSMEG_2801	0.6196
MSMEG_2802	0.1867
MSMEG_2803	0.1652
MSMEG_2804	0.7626
MSMEG_2805	0.2533
MSMEG_2806	0.337
MSMEG_2807	0.5944
MSMEG_2808	0.834
MSMEG_2809	0.8275
MSMEG_2810	0.2694
MSMEG_2811	1.2634
MSMEG_2812	1.2932
MSMEG_2813	0.8538
MSMEG_2814	0.9798
MSMEG_2817	0.8208
MSMEG_2818	0.9422
MSMEG_2819	0.3254
MSMEG_2820	0.3192
MSMEG_2821	1.0
MSMEG_2822	0.4016
MSMEG_2823	0.1781
MSMEG_2824	1.0
MSMEG_2825	0.0397
MSMEG_2826	0.8614
MSMEG_2827	0.9904
MSMEG_2828	0.2526
MSMEG_2829	0.1912
MSMEG_2830	0.412
MSMEG_2831	0.3866
MSMEG_2832	0.7242
MSMEG_2837	1.4479
MSMEG_2838	0.9737
MSMEG_2839	3.7368
MSMEG_2840	0.1967
MSMEG_2841	0.279
MSMEG_2842	0.4518
MSMEG_2843	0.1524
MSMEG_2844	0.2109
MSMEG_2845	0.209
MSMEG_2846	0.2642
MSMEG_2847	0.307
MSMEG_2848	0.5544
MSMEG_2849	2.2548
MSMEG_2850	1.3351
MSMEG_2851	0.065
MSMEG_2852	0.5439
MSMEG_2853	0.2844
MSMEG_2854	0.2495
MSMEG_2855	0.6371
MSMEG_2856	0.7279
MSMEG_2857	0.5418
MSMEG_2858	0.3872
MSMEG_2859	0.8028
MSMEG_2860	0.338
MSMEG_2861	0.7229
MSMEG_2862	0.5965
MSMEG_2863	0.3172
MSMEG_2864	0.3072
MSMEG_2865	1.047
MSMEG_2866	0.2155
MSMEG_2867	1.2422
MSMEG_2868	13.7382
MSMEG_2869	0.5211
MSMEG_2870	1.2974
MSMEG_2871	0.4631
MSMEG_2872	1.3986
MSMEG_2873	1.2133
MSMEG_2874	1.6306
MSMEG_2875	0.2927
MSMEG_2876	0.5512
MSMEG_2877	0.1908
MSMEG_2878	0.3343
MSMEG_2879	0.3227
MSMEG_2880	0.4179
MSMEG_2881	1.3753
MSMEG_2882	0.125
MSMEG_2883	4.052
MSMEG_2884	0.976
MSMEG_2885	0.6323
MSMEG_2886	0.9526
MSMEG_2887	0.5873
MSMEG_2888	0.4219
MSMEG_2889	0.5059
MSMEG_2890	0.613
MSMEG_2891	0.4226
MSMEG_2892	0.5786
MSMEG_2893	0.6341
MSMEG_2894	0.6055
MSMEG_2895	1.227
MSMEG_2896	0.2392
MSMEG_2897	1.1342
MSMEG_2898	0.5807
MSMEG_2899	1.0268
MSMEG_2900	1.0495
MSMEG_2901	0.5982
MSMEG_2902	0.5795
MSMEG_2904	0.7844
MSMEG_2905	1.5985
MSMEG_2906	0.3755
MSMEG_2907	0.2787
MSMEG_2908	0.3242
MSMEG_2909	1.3422
MSMEG_2910	6.736
MSMEG_2911	0.208
MSMEG_2912	0.1674
MSMEG_2913	3.2886
MSMEG_2914	0.5568
MSMEG_2915	0.5577
MSMEG_2916	0.1796
MSMEG_2917	0.785
MSMEG_2918	0.7572
MSMEG_2919	0.5614
MSMEG_2920	0.5819
MSMEG_2921	0.1786
MSMEG_2922	1.041
MSMEG_2923	6.9403
MSMEG_2924	0.1062
MSMEG_2925	0.4128
MSMEG_2926	0.3081
MSMEG_2927	0.5536
MSMEG_2928	0.5843
MSMEG_2929	0.8821
MSMEG_2930	0.3405
MSMEG_2931	0.0315
MSMEG_2932	0.3924
MSMEG_2933	0.2658
MSMEG_2934	0.2829
MSMEG_2935	0.1157
MSMEG_2936	0.3184
MSMEG_2937	0.9759
MSMEG_2938	0.1586
MSMEG_2939	0.2182
MSMEG_2940	1.051
MSMEG_2941	0.5596
MSMEG_2942	0.8342
MSMEG_2943	0.701
MSMEG_2944	0.5133
MSMEG_2945	0.2745
MSMEG_2946	0.2111
MSMEG_2947	0.2248
MSMEG_2948	0.6875
MSMEG_2949	0.2529
MSMEG_2950	0.1416
MSMEG_2951	0.3315
MSMEG_2952	0.8798
MSMEG_2953	1.2957
MSMEG_2954	0.5601
MSMEG_2955	0.5541
MSMEG_2956	0.7285
MSMEG_2957	4.3488
MSMEG_2958	2.2438
MSMEG_2959	0.442
MSMEG_2960	0.8051
MSMEG_2961	0.123
MSMEG_2962	0.1099
MSMEG_2963	0.0982
MSMEG_2964	0.3896
MSMEG_2965	0.8027
MSMEG_2966	0.3459
MSMEG_2967	0.485
MSMEG_2968	0.5657
MSMEG_2969	0.4902
MSMEG_2970	0.4932
MSMEG_2971	0.9812
MSMEG_2972	0.8525
MSMEG_2973	0.2332
MSMEG_2974	0.4859
MSMEG_2975	13.5821
MSMEG_2976	0.3212
MSMEG_2977	0.073
MSMEG_2978	0.413
MSMEG_2979	0.3162
MSMEG_2980	0.3364
MSMEG_2981	0.2424
MSMEG_2982	0.7117
MSMEG_2983	26.9942
MSMEG_2984	0.2219
MSMEG_2985	0.5554
MSMEG_2986	1.0179
MSMEG_2988	1.0291
MSMEG_2989	0.3414
MSMEG_2990	0.5046
MSMEG_2991	0.3131
MSMEG_2992	0.4231
MSMEG_2993	0.5106
MSMEG_2994	0.7264
MSMEG_2995	3.1415
MSMEG_2996	0.5639
MSMEG_2997	0.5972
MSMEG_2998	0.1794
MSMEG_2999	0.2983
MSMEG_3000	1.3649
MSMEG_3001	0.6186
MSMEG_3002	0.3307
MSMEG_3003	1.3414
MSMEG_3004	0.3338
MSMEG_3005	0.4773
MSMEG_3006	0.4756
MSMEG_3007	1.045
MSMEG_3008	0.3221
MSMEG_3009	0.5138
MSMEG_3010	0.7102
MSMEG_3011	1.1658
MSMEG_3012	0.994
MSMEG_3013	1.2035
MSMEG_3014	1.0173
MSMEG_3015	0.2378
MSMEG_3016	3.2759
MSMEG_3017	0.4613
MSMEG_3018	0.1279
MSMEG_3019	0.6338
MSMEG_3020	2.2197
MSMEG_3021	0.2215
MSMEG_3022	1.6016
MSMEG_3024	2.9656
MSMEG_3025	0.6006
MSMEG_3026	0.0956
MSMEG_3027	0.1225
MSMEG_3028	0.1123
MSMEG_3029	0.2376
MSMEG_3030	3.2928
MSMEG_3031	0.3111
MSMEG_3032	3.2528
MSMEG_3033	1.0296
MSMEG_3034	2.3103
MSMEG_3035	0.7171
MSMEG_3036	0.4072
MSMEG_3038	0.1418
MSMEG_3039	0.1376
MSMEG_3040	0.4457
MSMEG_3041	0.1113
MSMEG_3042	0.6977
MSMEG_3043	0.485
MSMEG_3044	0.2197
MSMEG_3045	0.4475
MSMEG_3046	0.4364
MSMEG_3047	0.1889
MSMEG_3048	0.1166
MSMEG_3049	0.51
MSMEG_3050	1.5365
MSMEG_3051	0.379
MSMEG_3052	0.3122
MSMEG_3053	1.2785
MSMEG_3054	0.1573
MSMEG_3055	1.0803
MSMEG_3056	1.3657
MSMEG_3057	0.3151
MSMEG_3058	0.3717
MSMEG_3059	13.4041
MSMEG_3060	2.554
MSMEG_3061	0.1016
MSMEG_3062	0.3674
MSMEG_3063	0.8478
MSMEG_3064	0.2588
MSMEG_3065	0.0886
MSMEG_3066	1.0726
MSMEG_3067	0.199
MSMEG_3068	1.2953
MSMEG_3069	0.1128
MSMEG_3070	1.2448
MSMEG_3071	6.9143
MSMEG_3072	0.7042
MSMEG_3073	0.3778
MSMEG_3074	0.1623
MSMEG_3075	0.254
MSMEG_3076	6.0542
MSMEG_3077	0.2181
MSMEG_3078	1.9732
MSMEG_3079	0.1396
MSMEG_3080	0.2506
MSMEG_3081	0.4677
MSMEG_3082	0.0926
MSMEG_3083	0.254
MSMEG_3084	1.0047
MSMEG_3085	0.1777
MSMEG_3086	0.4022
MSMEG_3087	1.3689
MSMEG_3089	1.1001
MSMEG_3090	0.9599
MSMEG_3091	0.3263
MSMEG_3092	0.2025
MSMEG_3093	0.219
MSMEG_3094	0.4026
MSMEG_3095	0.5022
MSMEG_3096	0.6022
MSMEG_3097	6.8622
MSMEG_3098	0.119
MSMEG_3099	0.6894
MSMEG_3100	0.2981
MSMEG_3101	0.1151
MSMEG_3102	0.6535
MSMEG_3103	1.8224
MSMEG_3104	0.1292
MSMEG_3105	0.4277
MSMEG_3106	6.4155
MSMEG_3107	1.0845
MSMEG_3108	0.4606
MSMEG_3109	0.3242
MSMEG_3110	0.1891
MSMEG_3111	0.3169
MSMEG_3112	0.4006
MSMEG_3113	1.2647
MSMEG_3114	1.2628
MSMEG_3115	0.1199
